selection_date,actual_selection_date,code,name,rank,similarity_score,best_match_case,best_match_date,category,reasons,buy_price,sell_price,return_pct,max_gain_pct,max_gain_day,sell_date,hold_days
2025-03-01,2025-02-28,605098,行动教育,1,93.06,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",36.75,38.93,5.931972789115646,16.3265306122449,17,2025-03-31,30
2025-03-01,2025-02-28,603122,合富中国,2,91.82,微芯生物,2025-06-20,near_duokong,"['靠近多空线 (±3%)', '匹配微芯生物']",7.2,6.68,-7.2222222222222285,7.916666666666658,10,2025-03-31,30
2025-03-01,2025-02-28,300137,先河环保,3,91.58,微芯生物,2025-06-20,bowl_center,"['回落碗中', '匹配微芯生物']",6.51,6.37,-2.1505376344085976,7.680491551459294,7,2025-03-31,30
2025-03-01,2025-02-28,301060,兰卫医学,4,91.39,微芯生物,2025-06-20,bowl_center,"['回落碗中', '匹配微芯生物']",10.261,9.501,-7.406685508235062,12.864243251145115,10,2025-03-31,30
2025-03-01,2025-02-28,300719,安达维尔,5,91.36,微芯生物,2025-06-20,near_duokong,"['靠近多空线 (±3%)', '匹配微芯生物']",17.88,16.34,-8.612975391498876,7.941834451901577,12,2025-03-31,30
2025-03-01,2025-02-28,688108,赛诺医疗,6,90.48,微芯生物,2025-06-20,near_duokong,"['靠近多空线 (±3%)', '匹配微芯生物']",10.22,10.66,4.305283757338547,13.111545988258314,19,2025-03-31,30
2025-03-01,2025-02-28,300257,开山股份,7,90.13,微芯生物,2025-06-20,near_duokong,"['靠近多空线 (±3%)', '匹配微芯生物']",9.45,9.2,-2.6455026455026456,7.619047619047627,19,2025-03-31,30
2025-03-01,2025-02-28,300357,我武生物,8,90.01,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",21.08,21.06,-0.09487666034155397,6.546489563567374,28,2025-03-31,30
2025-03-01,2025-02-28,603030,全筑股份,9,89.36,新瀚新材,2025-08-01,bowl_center,"['回落碗中', '匹配新瀚新材']",2.7,2.5,-7.407407407407414,8.888888888888879,12,2025-03-31,30
2025-03-01,2025-02-28,603608,天创时尚,10,88.45,新瀚新材,2025-08-01,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配新瀚新材']",3.99,4.79,20.0501253132832,21.303258145363397,31,2025-03-31,30
2025-04-01,2025-04-01,600601,方正科技,1,91.23,华纳药厂,2025-05-12,near_duokong,"['靠近多空线 (±3%)', '匹配华纳药厂']",4.86,4.53,-6.790123456790124,1.0288065843621363,1,2025-05-06,30
2025-04-01,2025-04-01,600456,宝钛股份,2,89.64,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",32.43,29.4,-9.343200740055508,2.3743447425223656,0,2025-05-06,30
2025-04-01,2025-04-01,600300,维维股份,3,88.67,新瀚新材,2025-08-01,bowl_center,"['回落碗中', '匹配新瀚新材']",3.252,3.482,7.072570725707271,34.13284132841329,16,2025-05-06,30
2025-04-01,2025-04-01,301365,矩阵股份,4,88.05,华纳药厂,2025-05-12,bowl_center,"['回落碗中', '匹配华纳药厂']",17.16,17.06,-0.582750582750591,13.92773892773893,2,2025-05-06,30
2025-04-01,2025-04-01,000803,山高环能,5,87.95,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",5.54,5.62,1.4440433212996402,6.137184115523463,22,2025-05-06,30
2025-04-01,2025-04-01,301229,纽泰格,6,87.85,华纳药厂,2025-05-12,bowl_center,"['回落碗中', '匹配华纳药厂']",17.58,18.002,2.4004550625711074,4.072810011376571,35,2025-05-06,30
2025-04-01,2025-04-01,300860,锋尚文化,7,87.68,光电股份,2025-07-10,near_duokong,"['靠近多空线 (±3%)', '匹配光电股份']",26.423,25.703,-2.724898762441808,4.730727018128146,2,2025-05-06,30
2025-04-01,2025-04-01,688089,嘉必优,8,87.66,昂利康,2025-07-11,bowl_center,"['回落碗中', '匹配昂利康']",24.65,25.13,1.9472616632860058,6.450304259634889,14,2025-05-06,30
2025-04-01,2025-04-01,301053,远信工业,9,87.54,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",26.223,24.853,-5.224421309537419,1.7923197193303682,1,2025-05-06,30
2025-04-01,2025-04-01,300973,立高食品,10,86.62,方正科技,2025-07-23,near_duokong,"['靠近多空线 (±3%)', '匹配方正科技']",40.311,43.341,7.516558755674632,19.796085435737133,16,2025-05-06,30
2025-05-01,2025-04-30,000566,海南海药,1,92.62,华纳药厂,2025-05-12,near_duokong,"['靠近多空线 (±3%)', '匹配华纳药厂']",4.8,6.12,27.500000000000007,28.54166666666667,23,2025-05-30,30
2025-05-01,2025-04-30,301373,凌玮科技,2,90.58,华纳药厂,2025-05-12,bowl_center,"['回落碗中', '匹配华纳药厂']",28.11,28.23,0.4268943436499502,4.589114194236924,8,2025-05-30,30
2025-05-01,2025-04-30,600629,华建集团,3,87.77,华纳药厂,2025-05-12,near_duokong,"['靠近多空线 (±3%)', '匹配华纳药厂']",8.038,8.368,4.105498880318488,11.196815128141333,19,2025-05-30,30
2025-05-01,2025-04-30,600684,珠江股份,4,86.06,航天发展,2025-11-12,near_duokong,"['靠近多空线 (±3%)', '匹配航天发展']",3.49,3.7,6.0171919770773625,13.467048710601711,30,2025-05-30,30
2025-05-01,2025-04-30,000935,四川双马,5,85.81,华纳药厂,2025-05-12,near_duokong,"['靠近多空线 (±3%)', '匹配华纳药厂']",15.7,16.88,7.515923566878979,20.89171974522294,20,2025-05-30,30
2025-05-01,2025-04-30,000859,国风新材,6,84.37,华纳药厂,2025-05-12,bowl_center,"['回落碗中', '匹配华纳药厂']",6.02,7.37,22.425249169435226,44.186046511627914,26,2025-05-30,30
2025-05-01,2025-04-30,002719,麦趣尔,7,83.74,华纳药厂,2025-05-12,near_duokong,"['靠近多空线 (±3%)', '匹配华纳药厂']",7.82,8.85,13.17135549872122,20.588235294117638,20,2025-05-30,30
2025-05-01,2025-04-30,000767,晋控电力,8,83.31,微芯生物,2025-06-20,near_duokong,"['靠近多空线 (±3%)', '匹配微芯生物']",2.65,2.91,9.81132075471699,35.84905660377359,14,2025-05-30,30
2025-05-01,2025-04-30,300452,山河药辅,9,82.86,光电股份,2025-07-10,near_duokong,"['靠近多空线 (±3%)', '匹配光电股份']",11.632,12.532,7.737276478679508,10.402338376891342,30,2025-05-30,30
2025-05-01,2025-04-30,600279,重庆港,10,80.33,昂利康,2025-07-11,bowl_center,"['回落碗中', '匹配昂利康']",5.28,6.05,14.583333333333325,38.257575757575744,23,2025-05-30,30
2025-06-01,2025-05-30,002361,神剑股份,1,92.79,方正科技,2025-07-23,bowl_center,"['回落碗中', '匹配方正科技']",6.18,6.22,0.647249190938512,3.3980582524271843,0,2025-06-30,30
2025-06-01,2025-05-30,301072,中捷精工,2,92.3,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",21.17,21.47,1.417099669343397,6.943788379782706,28,2025-06-30,30
2025-06-01,2025-05-30,600319,亚星化学,3,91.4,方正科技,2025-07-23,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配方正科技']",5.84,6.53,11.815068493150692,11.815068493150692,31,2025-06-30,30
2025-06-01,2025-05-30,000958,电投产融,4,90.99,微芯生物,2025-06-20,bowl_center,"['回落碗中', '匹配微芯生物']",6.751,6.661,-1.333135831728644,6.073174344541538,11,2025-06-30,30
2025-06-01,2025-05-30,300970,华绿生物,5,90.98,新瀚新材,2025-08-01,bowl_center,"['回落碗中', '匹配新瀚新材']",14.01,14.5,3.4975017844396876,5.924339757316203,13,2025-06-30,30
2025-06-01,2025-05-30,000586,汇源通信,6,90.55,方正科技,2025-07-23,near_duokong,"['靠近多空线 (±3%)', '匹配方正科技']",10.21,11.12,8.912830558276182,9.108716944172377,31,2025-06-30,30
2025-06-01,2025-05-30,002541,鸿路钢构,7,90.15,方正科技,2025-07-23,near_duokong,"['靠近多空线 (±3%)', '匹配方正科技']",18.451,16.74,-9.273210124112525,2.3846945964988224,0,2025-06-30,30
2025-06-01,2025-05-30,000702,正虹科技,8,90.09,航天发展,2025-11-12,near_duokong,"['靠近多空线 (±3%)', '匹配航天发展']",6.9,7.22,4.637681159420281,11.014492753623186,18,2025-06-30,30
2025-06-01,2025-05-30,601798,蓝科高新,9,89.8,方正科技,2025-07-23,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配方正科技']",7.4,7.96,7.567567567567562,10.270270270270267,19,2025-06-30,30
2025-06-01,2025-05-30,301555,惠柏新材,10,89.64,新瀚新材,2025-08-01,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配新瀚新材']",25.28,27.31,8.03006329113923,12.104430379746828,20,2025-06-30,30
2025-07-01,2025-07-01,000968,蓝焰控股,1,88.51,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",7.2,7.02,-2.5000000000000084,1.94444444444444,24,2025-07-31,30
2025-07-01,2025-07-01,000554,泰山石油,2,87.87,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",6.948,6.648,-4.317789291882566,2.302820955670686,0,2025-07-31,30
2025-07-01,2025-07-01,601872,招商轮船,3,87.52,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",6.16,5.99,-2.7597402597402585,2.4350649350649265,24,2025-07-31,30
2025-07-01,2025-07-01,000159,国际实业,4,86.5,光电股份,2025-07-10,near_duokong,"['靠近多空线 (±3%)', '匹配光电股份']",5.63,5.61,-0.3552397868561203,7.104795737122564,24,2025-07-31,30
2025-07-01,2025-07-01,300172,中电环保,5,86.0,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",5.58,5.51,-1.2544802867383564,8.422939068100353,3,2025-07-31,30
2025-07-01,2025-07-01,600825,新华传媒,6,85.35,新瀚新材,2025-08-01,near_duokong,"['靠近多空线 (±3%)', '匹配新瀚新材']",6.72,7.2,7.1428571428571495,19.791666666666682,24,2025-07-31,30
2025-07-01,2025-07-01,002980,华盛昌,7,85.11,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",20.08,21.13,5.229083665338649,7.470119521912351,30,2025-07-31,30
2025-07-01,2025-07-01,002986,宇新股份,8,85.04,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",11.18,11.95,6.887298747763861,14.221824686940964,27,2025-07-31,30
2025-07-01,2025-07-01,300332,天壕能源,9,84.65,航天发展,2025-11-12,bowl_center,"['回落碗中', '匹配航天发展']",5.05,5.05,0.0,5.148514851485145,22,2025-07-31,30
2025-07-01,2025-07-01,300228,富瑞特装,10,84.53,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",7.77,7.74,-0.3861003861003779,7.593307593307593,9,2025-07-31,30
2025-08-01,2025-08-01,301076,新瀚新材,1,95.8,新瀚新材,2025-08-01,bowl_center,"['回落碗中', '匹配新瀚新材']",29.65,52.53,77.16694772344015,113.79426644182126,17,2025-09-01,30
2025-08-01,2025-08-01,002493,荣盛石化,2,92.9,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",9.16,9.96,8.73362445414848,12.663755458515286,25,2025-09-01,30
2025-08-01,2025-08-01,300911,亿田智能,3,92.34,光电股份,2025-07-10,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配光电股份']",49.6,56.52,13.95161290322581,27.116935483870957,31,2025-09-01,30
2025-08-01,2025-08-01,301538,骏鼎达,4,92.14,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",61.3,68.7,12.071778140293647,24.25774877650898,20,2025-09-01,30
2025-08-01,2025-08-01,600760,中航沈飞,5,91.24,微芯生物,2025-06-20,bowl_center,"['回落碗中', '匹配微芯生物']",62.06,64.26,3.5449564937157634,6.558169513374143,31,2025-09-01,30
2025-08-01,2025-08-01,301279,金道科技,6,91.06,光电股份,2025-07-10,bowl_center,"['回落碗中', '匹配光电股份']",23.64,23.94,1.2690355329949268,9.052453468697125,24,2025-09-01,30
2025-08-01,2025-08-01,002271,东方雨虹,7,90.95,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",10.995,11.7,6.412005457025923,11.550704865848125,24,2025-09-01,30
2025-08-01,2025-08-01,688334,西高院,8,90.52,光电股份,2025-07-10,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配光电股份']",18.359,18.659,1.6340759300615344,10.403616754725183,20,2025-09-01,30
2025-08-01,2025-08-01,000993,闽东电力,9,90.18,宁波韵升,2025-08-06,bowl_center,"['回落碗中', '匹配宁波韵升']",10.45,10.67,2.105263157894743,9.856459330143553,10,2025-09-01,30
2025-08-01,2025-08-01,688698,伟创电气,10,90.14,微芯生物,2025-06-20,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配微芯生物']",52.47,54.5,3.8688774537831163,18.21993520106728,24,2025-09-01,30
2025-09-01,2025-09-01,300354,东华测试,1,94.69,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",43.48,48.46,11.453541858325679,29.25482980680774,24,2025-10-09,30
2025-09-01,2025-09-01,301581,黄山谷捷,2,92.06,方正科技,2025-07-23,bowl_center,"['回落碗中', '匹配方正科技']",59.36,56.1,-5.491913746630725,0.4043126684636152,0,2025-10-09,30
2025-09-01,2025-09-01,603031,安孚科技,3,91.7,微芯生物,2025-06-20,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配微芯生物']",35.58,41.47,16.554243957279372,34.40134907251265,24,2025-10-09,30
2025-09-01,2025-09-01,688292,浩瀚深度,4,90.57,航天发展,2025-11-12,near_short_trend,"['靠近短期趋势线 (±2%)', '匹配航天发展']",23.83,24.19,1.5107007973143223,9.945446915652543,21,2025-10-09,30
